year,city,month,application
2023,Fukushima,2,1229
2023,Ibaraki,2,3481
2023,Tochigi,2,2132
2023,Gunma,2,2115
2023,Saitama,2,12863
2023,Chiba,2,12560
2023,Tokyo,2,48417
2023,Kanagawa,2,23187
2023,Niigata,2,1531
2023,Toyama,2,969
2023,Ishikawa,2,1356
2023,Fukui,2,860
2023,Yamanashi,2,1077
2023,Nagano,2,2201
2023,Gifu,2,2563
2023,Shizuoka,2,4661
2023,Aichi,2,13696
2023,Mie,2,2178
2023,Shiga,2,2353
2023,Kyoto,2,5487
2023,Osaka,2,19126
2023,Hyogo,2,10373
2023,Nara,2,2332
2023,Wakayama,2,988
2023,Tottori,2,463
2023,Shimane,2,434
2023,Okayama,2,1989
2023,Hiroshima,2,3362
2023,Yamaguchi,2,1275
2023,Tokushima,2,677
2023,Kagawa,2,920
2023,Ehime,2,1091
2023,Kochi,2,536
2023,Fukuoka,2,9943
2023,Saga,2,907
2023,Nagasaki,2,1253
2023,Kumamoto,2,2000
2023,Oita,2,1000
2023,Miyazaki,2,750
2023,Kagoshima,2,1114
2023,Okinawa,2,2107
2023,Hokkaido,1,4646
2023,Aomori,1,552
2023,Iwate,1,692
2023,Miyagi,1,2100
2023,Akita,1,434
2023,Yamagata,1,656
2023,Fukushima,1,1244
2023,Ibaraki,1,3666
2023,Tochigi,1,2275
2023,Gunma,1,2059
2023,Saitama,1,12905
2023,Chiba,1,12644
2023,Tokyo,1,46378
2023,Kanagawa,1,22856
2023,Niigata,1,1573
2023,Toyama,1,933
2023,Ishikawa,1,1174
2023,Fukui,1,832
2023,Yamanashi,1,968
2023,Nagano,1,2235
2023,Gifu,1,2513
2023,Shizuoka,1,4592
2023,Aichi,1,13517
2023,Mie,1,2067
2023,Shiga,1,2193
2023,Kyoto,1,5490
2023,Osaka,1,19232
2023,Hyogo,1,9931
2023,Nara,1,2226
2023,Wakayama,1,1012
2023,Tottori,1,418
2023,Shimane,1,400
2023,Okayama,1,1988
2023,Hiroshima,1,3264
2023,Yamaguchi,1,1101
2023,Tokushima,1,563
2023,Kagawa,1,890
2023,Ehime,1,1239
2023,Kochi,1,509
2023,Fukuoka,1,7865
2023,Saga,1,813
2023,Nagasaki,1,1092
2023,Kumamoto,1,1861
2023,Oita,1,959
2023,Miyazaki,1,762
2023,Kagoshima,1,976
2023,Okinawa,1,2138
2022,Hokkaido,12,3498
2022,Aomori,12,371
2022,Iwate,12,477
2022,Miyagi,12,1461
2022,Akita,12,286
2022,Yamagata,12,438
2022,Fukushima,12,828
2022,Ibaraki,12,2421
2022,Tochigi,12,1460
2022,Gunma,12,1375
2022,Saitama,12,8312
2022,Chiba,12,8562
2022,Tokyo,12,33238
2022,Kanagawa,12,15723
2022,Niigata,12,1054
2022,Toyama,12,765
2022,Ishikawa,12,881
2022,Fukui,12,570
2022,Yamanashi,12,780
2022,Nagano,12,1544
2022,Gifu,12,1507
2022,Shizuoka,12,3005
2022,Aichi,12,8883
2022,Mie,12,1334
2022,Shiga,12,1461
2022,Kyoto,12,3674
2022,Osaka,12,13030
2022,Hyogo,12,6657
2022,Nara,12,1481
2022,Wakayama,12,651
2022,Tottori,12,285
2022,Shimane,12,273
2022,Okayama,12,1340
2022,Hiroshima,12,2217
2022,Yamaguchi,12,852
2022,Tokushima,12,400
2022,Kagawa,12,617
2022,Ehime,12,721
2022,Kochi,12,348
2022,Fukuoka,12,5917
2022,Saga,12,539
2022,Nagasaki,12,767
2022,Kumamoto,12,1193
2022,Oita,12,653
2022,Miyazaki,12,514
2022,Kagoshima,12,699
2022,Okinawa,12,1640
2022,Hokkaido,11,3249
2022,Aomori,11,366
2022,Iwate,11,400
2022,Miyagi,11,1397
2022,Akita,11,273
2022,Yamagata,11,391
2022,Fukushima,11,761
2022,Ibaraki,11,2310
2022,Tochigi,11,1392
2022,Gunma,11,1263
2022,Saitama,11,7708
2022,Chiba,11,8057
2022,Tokyo,11,32836
2022,Kanagawa,11,14890
2022,Niigata,11,1000
2022,Toyama,11,681
