year,month,category,application
2017,6,information_changing,8165
2017,6,diplomatic,395
2017,6,official,2073
2017,5,general_5_years,126668
2017,5,general_10_years,192365
2017,5,information_changing,8464
2017,5,diplomatic,237
2017,5,official,2457
2017,4,general_5_years,116503
2017,4,general_10_years,180117
2017,4,information_changing,7875
2017,4,diplomatic,426
2017,4,official,2558
2017,3,general_5_years,159401
2017,3,general_10_years,212299
2017,3,information_changing,8411
2017,3,diplomatic,223
2017,3,official,1863
2017,2,general_5_years,134186
2017,2,general_10_years,205653
2017,2,information_changing,6813
2017,2,diplomatic,269
2017,2,official,2057
2017,1,general_5_years,140369
2017,1,general_10_years,223544
2017,1,information_changing,7932
2017,1,diplomatic,124
2017,1,official,2331
2016,12,general_5_years,107231
2016,12,general_10_years,160862
2016,12,information_changing,6563
2016,12,diplomatic,104
2016,12,official,1985
2016,11,general_5_years,98167
2016,11,general_10_years,159492
2016,11,information_changing,6531
2016,11,diplomatic,115
2016,11,official,1901
2016,10,general_5_years,94419
2016,10,general_10_years,165755
2016,10,information_changing,7089
2016,10,diplomatic,171
2016,10,official,2628
2016,9,general_5_years,97702
2016,9,general_10_years,175432
2016,9,information_changing,7985
2016,9,diplomatic,155
2016,9,official,3010
2016,8,general_5_years,174461
2016,8,general_10_years,208596
2016,8,information_changing,9983
2016,8,diplomatic,266
2016,8,official,2689
2016,7,general_5_years,150322
2016,7,general_10_years,189006
2016,7,information_changing,7758
2016,7,diplomatic,284
2016,7,official,1977
2016,6,general_5_years,145372
2016,6,general_10_years,194998
2016,6,information_changing,7938
2016,6,diplomatic,405
2016,6,official,2099
2016,5,general_5_years,121485
2016,5,general_10_years,185143
2016,5,information_changing,8299
2016,5,diplomatic,239
2016,5,official,2228
2016,4,general_5_years,107984
2016,4,general_10_years,164928
2016,4,information_changing,7686
2016,4,diplomatic,354
2016,4,official,2028
2016,3,general_5_years,143360
2016,3,general_10_years,188908
2016,3,information_changing,7914
2016,3,diplomatic,215
2016,3,official,2222
2016,2,general_5_years,119184
2016,2,general_10_years,180833
2016,2,information_changing,6662
2016,2,diplomatic,228
2016,2,official,1989
2016,1,general_5_years,121258
2016,1,general_10_years,191736
2016,1,information_changing,7338
2016,1,diplomatic,202
2016,1,official,2132
2015,12,general_5_years,93491
2015,12,general_10_years,140096
2015,12,information_changing,6136
2015,12,diplomatic,138
2015,12,official,1832
2015,11,general_5_years,80811
2015,11,general_10_years,132590
2015,11,information_changing,5873
2015,11,diplomatic,147
2015,11,official,1801
2015,10,general_5_years,88088
2015,10,general_10_years,153316
2015,10,information_changing,7632
2015,10,diplomatic,225
2015,10,official,2893
2015,9,general_5_years,83633
