year,month,gender,age,value
2013,1,female,60-69,9433
2013,1,female,70-79,7453
2013,1,female,over_80,2820
2013,1,female,under_19,10913
2013,1,male,20-29,6590
2013,1,male,30-39,8540
2013,1,male,40-49,8865
2013,1,male,50-59,7699
2013,1,male,60-69,8908
2013,1,male,70-79,6169
2013,1,male,over_80,1841
2013,1,male,under_19,11464
2013,2,female,20-29,6279
2013,2,female,30-39,8220
2013,2,female,40-49,8654
2013,2,female,50-59,7706
2013,2,female,60-69,9425
2013,2,female,70-79,7456
2013,2,female,over_80,2837
2013,2,female,under_19,10897
2013,2,male,20-29,6576
2013,2,male,30-39,8505
2013,2,male,40-49,8865
2013,2,male,50-59,7678
2013,2,male,60-69,8902
2013,2,male,70-79,6180
2013,2,male,over_80,1854
2013,2,male,under_19,11447
2013,3,female,20-29,6268
2013,3,female,30-39,8194
2013,3,female,40-49,8663
2013,3,female,50-59,7696
2013,3,female,60-69,9418
2013,3,female,70-79,7467
2013,3,female,over_80,2844
2013,3,female,under_19,10890
2013,3,male,20-29,6565
2013,3,male,30-39,8479
2013,3,male,40-49,8874
2013,3,male,50-59,7668
2013,3,male,60-69,8896
2013,3,male,70-79,6193
2013,3,male,over_80,1860
2013,3,male,under_19,11441
2013,4,female,20-29,6256
2013,4,female,30-39,8172
2013,4,female,40-49,8677
2013,4,female,50-59,7686
2013,4,female,60-69,9409
2013,4,female,70-79,7471
2013,4,female,over_80,2850
2013,4,female,under_19,10890
2013,4,male,20-29,6554
2013,4,male,30-39,8453
2013,4,male,40-49,8886
2013,4,male,50-59,7658
2013,4,male,60-69,8890
2013,4,male,70-79,6203
2013,4,male,over_80,1867
2013,4,male,under_19,11438
2013,5,female,20-29,6243
2013,5,female,30-39,8146
2013,5,female,40-49,8686
2013,5,female,50-59,7683
2013,5,female,60-69,9406
2013,5,female,70-79,7485
2013,5,female,over_80,2855
2013,5,female,under_19,10875
2013,5,male,20-29,6541
2013,5,male,30-39,8427
2013,5,male,40-49,8897
2013,5,male,50-59,7655
2013,5,male,60-69,8888
2013,5,male,70-79,6217
2013,5,male,over_80,1871
2013,5,male,under_19,11423
2013,6,female,20-29,6234
2013,6,female,30-39,8122
2013,6,female,40-49,8707
2013,6,female,50-59,7679
2013,6,female,60-69,9409
2013,6,female,70-79,7493
2013,6,female,over_80,2858
2013,6,female,under_19,10868
2013,6,male,20-29,6532
2013,6,male,30-39,8401
2013,6,male,40-49,8917
2013,6,male,50-59,7650
2013,6,male,60-69,8892
2013,6,male,70-79,6224
2013,6,male,over_80,1873
2013,6,male,under_19,11417
2013,7,female,20-29,6227
2013,7,female,30-39,8104
2013,7,female,40-49,8733
2013,7,female,50-59,7675
2013,7,female,60-69,9411
2013,7,female,70-79,7502
2013,7,female,over_80,2859
2013,7,female,under_19,10870
2013,7,male,20-29,6525
2013,7,male,30-39,8378
2013,7,male,40-49,8939
2013,7,male,50-59,7647
2013,7,male,60-69,8893
2013,7,male,70-79,6232
2013,7,male,over_80,1874
2013,7,male,under_19,11415
2013,8,female,20-29,6217
2013,8,female,30-39,8084
2013,8,female,40-49,8759
2013,8,female,50-59,7669
2013,8,female,60-69,9410
2013,8,female,70-79,7516
2013,8,female,over_80,2860
2013,8,female,under_19,10869
2013,8,male,20-29,6514
2013,8,male,30-39,8356
2013,8,male,40-49,8965
2013,8,male,50-59,7642
2013,8,male,60-69,8894
2013,8,male,70-79,6245
2013,8,male,over_80,1877
2013,8,male,under_19,11416
2013,9,female,20-29,6199
2013,9,female,30-39,8053
2013,9,female,40-49,8771
2013,9,female,50-59,7661
2013,9,female,60-69,9400
2013,9,female,70-79,7536
2013,9,female,over_80,2863
2013,9,female,under_19,10846
2013,9,male,20-29,6499
2013,9,male,30-39,8332
2013,9,male,40-49,8987
2013,9,male,50-59,7639
2013,9,male,60-69,8886
2013,9,male,70-79,6265
2013,9,male,over_80,1880
2013,9,male,under_19,11392
2013,10,female,20-29,6184
2013,10,female,30-39,8031
2013,10,female,40-49,8788
2013,10,female,50-59,7658
2013,10,female,60-69,9387
2013,10,female,70-79,7556
2013,10,female,over_80,6073
2013,10,female,under_19,10839
2013,10,male,20-29,6485
2013,10,male,30-39,8311
2013,10,male,40-49,9008
2013,10,male,50-59,7637
2013,10,male,60-69,8874
2013,10,male,70-79,6284
2013,10,male,over_80,3201
2013,10,male,under_19,11386
2013,11,female,20-29,6171
2013,11,female,30-39,8008
2013,11,female,40-49,8807
2013,11,female,50-59,7657
2013,11,female,60-69,9370
2013,11,female,70-79,7572
2013,11,female,over_80,6090
2013,11,female,under_19,10835
2013,11,male,20-29,6473
2013,11,male,30-39,8287
2013,11,male,40-49,9024
2013,11,male,50-59,7637
2013,11,male,60-69,8858
2013,11,male,70-79,6298
2013,11,male,over_80,3215
2013,11,male,under_19,11381
2013,12,female,20-29,6162
2013,12,female,30-39,7987
2013,12,female,40-49,8823
2013,12,female,50-59,7653
2013,12,female,60-69,9355
2013,12,female,70-79,7583
2013,12,female,over_80,6107
2013,12,female,under_19,10829
2013,12,male,20-29,6464
2013,12,male,30-39,8265
2013,12,male,40-49,9042
2013,12,male,50-59,7634
2013,12,male,60-69,8845
2013,12,male,70-79,6307
2013,12,male,over_80,3229
2013,12,male,under_19,11375
2014,1,female,20-29,6162
2014,1,female,30-39,7974
2014,1,female,40-49,8848
2014,1,female,50-59,7652
2014,1,female,60-69,9352
2014,1,female,70-79,7593
2014,1,female,over_80,6111
2014,1,female,under_19,10837
2014,1,male,20-29,6463
2014,1,male,30-39,8249
2014,1,male,40-49,9067
2014,1,male,50-59,7638
2014,1,male,60-69,8841
2014,1,male,70-79,6314
2014,1,male,over_80,3235
2014,1,male,under_19,11381
2014,2,female,20-29,6147
2014,2,female,30-39,7941
2014,2,female,40-49,8847
2014,2,female,50-59,7634
2014,2,female,60-69,9332
2014,2,female,70-79,7609
2014,2,female,over_80,6148
2014,2,female,under_19,10821
2014,2,male,20-29,6450
2014,2,male,30-39,8218
2014,2,male,40-49,9072
2014,2,male,50-59,7622
2014,2,male,60-69,8829
2014,2,male,70-79,6335
2014,2,male,over_80,3257
2014,2,male,under_19,11363
2014,3,female,20-29,6136
2014,3,female,30-39,7917
2014,3,female,40-49,8853
2014,3,female,50-59,7624
2014,3,female,60-69,9314
2014,3,female,70-79,7629
2014,3,female,over_80,6173
2014,3,female,under_19,10810
2014,3,male,20-29,6439
2014,3,male,30-39,8193
2014,3,male,40-49,9074
2014,3,male,50-59,7610
2014,3,male,60-69,8813
2014,3,male,70-79,6355
2014,3,male,over_80,3275
2014,3,male,under_19,11351
2014,4,female,20-29,6126
2014,4,female,30-39,7899
2014,4,female,40-49,8864
2014,4,female,50-59,7620
2014,4,female,60-69,9296
2014,4,female,70-79,7636
2014,4,female,over_80,6206
2014,4,female,under_19,10804
2014,4,male,20-29,6430
2014,4,male,30-39,8169
2014,4,male,40-49,9083
2014,4,male,50-59,7605
2014,4,male,60-69,8798
2014,4,male,70-79,6366
2014,4,male,over_80,3296
2014,4,male,under_19,11347
2014,5,female,20-29,6117
2014,5,female,30-39,7872
2014,5,female,40-49,8870
2014,5,female,50-59,7623
2014,5,female,60-69,9282
2014,5,female,70-79,7656
2014,5,female,over_80,6217
2014,5,female,under_19,10789
2014,5,male,20-29,6422
2014,5,male,30-39,8144
2014,5,male,40-49,9090
2014,5,male,50-59,7609
2014,5,male,60-69,8787
2014,5,male,70-79,6385
2014,5,male,over_80,3303
2014,5,male,under_19,11329
2014,6,female,20-29,6112
2014,6,female,30-39,7851
2014,6,female,40-49,8885
2014,6,female,50-59,7629
2014,6,female,60-69,9272
2014,6,female,70-79,7668
2014,6,female,over_80,6227
2014,6,female,under_19,10778
2014,6,male,20-29,6417
2014,6,male,30-39,8122
2014,6,male,40-49,9105
2014,6,male,50-59,7615
2014,6,male,60-69,8778
2014,6,male,70-79,6395
2014,6,male,over_80,3311
2014,6,male,under_19,11317
2014,7,female,20-29,6108
2014,7,female,30-39,7832
2014,7,female,40-49,8905
2014,7,female,50-59,7635
2014,7,female,60-69,9266
2014,7,female,70-79,7678
2014,7,female,over_80,6234
2014,7,female,under_19,10777
2014,7,male,20-29,6412
2014,7,male,30-39,8100
2014,7,male,40-49,9121
2014,7,male,50-59,7620
2014,7,male,60-69,8773
2014,7,male,70-79,6404
2014,7,male,over_80,3316
2014,7,male,under_19,11317
2014,8,female,20-29,6101
2014,8,female,30-39,7813
2014,8,female,40-49,8926
2014,8,female,50-59,7638
2014,8,female,60-69,9265
2014,8,female,70-79,7687
2014,8,female,over_80,6245
2014,8,female,under_19,10775
2014,8,male,20-29,6405
2014,8,male,30-39,8077
2014,8,male,40-49,9143
2014,8,male,50-59,7625
2014,8,male,60-69,8774
2014,8,male,70-79,6412
2014,8,male,over_80,3325
2014,8,male,under_19,11313
2014,9,female,20-29,6084
2014,9,female,30-39,7783
2014,9,female,40-49,8932
2014,9,female,50-59,7637
2014,9,female,60-69,9263
2014,9,female,70-79,7697
2014,9,female,over_80,6260
2014,9,female,under_19,10746
2014,9,male,20-29,6391
2014,9,male,30-39,8054
2014,9,male,40-49,9160
2014,9,male,50-59,7626
2014,9,male,60-69,8773
2014,9,male,70-79,6422
2014,9,male,over_80,3336
2014,9,male,under_19,11284
2014,10,female,20-29,6071
2014,10,female,30-39,7761
2014,10,female,40-49,8946
2014,10,female,50-59,7638
2014,10,female,60-69,9258
2014,10,female,70-79,7707
2014,10,female,over_80,6274
2014,10,female,under_19,10737
2014,10,male,20-29,6380
2014,10,male,30-39,8031
2014,10,male,40-49,9177
2014,10,male,50-59,7629
2014,10,male,60-69,8770
2014,10,male,70-79,6432
2014,10,male,over_80,3346
2014,10,male,under_19,11274
2014,11,female,20-29,6063
2014,11,female,30-39,7739
2014,11,female,40-49,8958
2014,11,female,50-59,7639
2014,11,female,60-69,9252
2014,11,female,70-79,7716
2014,11,female,over_80,6290
2014,11,female,under_19,10727
2014,11,male,20-29,6373
2014,11,male,30-39,8008
2014,11,male,40-49,9188
2014,11,male,50-59,7630
2014,11,male,60-69,8764
2014,11,male,70-79,6439
2014,11,male,over_80,3358
2014,11,male,under_19,11264
2014,12,female,20-29,6056
2014,12,female,30-39,7720
2014,12,female,40-49,8966
2014,12,female,50-59,7637
2014,12,female,60-69,9249
2014,12,female,70-79,7717
2014,12,female,over_80,6304
2014,12,female,under_19,10717
2014,12,male,20-29,6368
2014,12,male,30-39,7989
2014,12,male,40-49,9198
2014,12,male,50-59,7631
2014,12,male,60-69,8763
2014,12,male,70-79,6438
2014,12,male,over_80,3371
2014,12,male,under_19,11254
2015,1,female,20-29,6059
2015,1,female,30-39,7712
2015,1,female,40-49,8984
2015,1,female,50-59,7647
2015,1,female,60-69,9255
2015,1,female,70-79,7715
2015,1,female,over_80,6305
2015,1,female,under_19,10723
2015,1,male,20-29,6370
2015,1,male,30-39,7978
2015,1,male,40-49,9215
2015,1,male,50-59,7642
2015,1,male,60-69,8771
2015,1,male,70-79,6436
2015,1,male,over_80,3371
2015,1,male,under_19,11259
2015,2,female,20-29,6049
2015,2,female,30-39,7679
2015,2,female,40-49,8974
2015,2,female,50-59,7630
2015,2,female,60-69,9276
2015,2,female,70-79,7686
2015,2,female,over_80,6343
2015,2,female,under_19,10704
2015,2,male,20-29,6359
2015,2,male,30-39,7947
2015,2,male,40-49,9207
2015,2,male,50-59,7625
2015,2,male,60-69,8789
2015,2,male,70-79,6416
2015,2,male,over_80,3397
2015,2,male,under_19,11239
2015,3,female,20-29,6040
2015,3,female,30-39,7659
2015,3,female,40-49,8974
2015,3,female,50-59,7628
2015,3,female,60-69,9270
2015,3,female,70-79,7683
2015,3,female,over_80,6373
2015,3,female,under_19,10696
2015,3,male,20-29,6352
2015,3,male,30-39,7924
2015,3,male,40-49,9208
2015,3,male,50-59,7625
2015,3,male,60-69,8786
2015,3,male,70-79,6417
2015,3,male,over_80,3418
2015,3,male,under_19,11232
2015,4,female,20-29,6033
2015,4,female,30-39,7639
2015,4,female,40-49,8977
2015,4,female,50-59,7632
2015,4,female,60-69,9265
2015,4,female,70-79,7673
2015,4,female,over_80,6409
2015,4,female,under_19,10694
2015,4,male,20-29,6345
2015,4,male,30-39,7902
2015,4,male,40-49,9207
2015,4,male,50-59,7627
2015,4,male,60-69,8783
2015,4,male,70-79,6412
2015,4,male,over_80,3444
2015,4,male,under_19,11230
2015,5,female,20-29,6023
2015,5,female,30-39,7615
2015,5,female,40-49,8973
2015,5,female,50-59,7637
2015,5,female,60-69,9266
2015,5,female,70-79,7677
2015,5,female,over_80,6421
2015,5,female,under_19,10683
2015,5,male,20-29,6336
2015,5,male,30-39,7878
2015,5,male,40-49,9208
2015,5,male,50-59,7631
2015,5,male,60-69,8786
2015,5,male,70-79,6416
2015,5,male,over_80,3455
2015,5,male,under_19,11217
2015,6,female,20-29,6018
2015,6,female,30-39,7595
2015,6,female,40-49,8984
2015,6,female,50-59,7642
2015,6,female,60-69,9268
2015,6,female,70-79,7679
2015,6,female,over_80,6432
2015,6,female,under_19,10675
2015,6,male,20-29,6331
2015,6,male,30-39,7857
2015,6,male,40-49,9217
2015,6,male,50-59,7636
2015,6,male,60-69,8786
2015,6,male,70-79,6418
2015,6,male,over_80,3460
2015,6,male,under_19,11209
2015,7,female,20-29,6015
2015,7,female,30-39,7580
2015,7,female,40-49,8998
2015,7,female,50-59,7653
2015,7,female,60-69,9274
2015,7,female,70-79,7676
2015,7,female,over_80,6439
2015,7,female,under_19,10678
2015,7,male,20-29,6326
2015,7,male,30-39,7839
2015,7,male,40-49,9226
2015,7,male,50-59,7646
2015,7,male,60-69,8792
2015,7,male,70-79,6415
2015,7,male,over_80,3467
2015,7,male,under_19,11210
2015,8,female,20-29,6009
2015,8,female,30-39,7565
2015,8,female,40-49,9009
2015,8,female,50-59,7663
2015,8,female,60-69,9280
2015,8,female,70-79,7673
2015,8,female,over_80,6451
2015,8,female,under_19,10677
2015,8,male,20-29,6319
2015,8,male,30-39,7822
2015,8,male,40-49,9237
2015,8,male,50-59,7658
2015,8,male,60-69,8799
2015,8,male,70-79,6413
2015,8,male,over_80,3476
2015,8,male,under_19,11208
2015,9,female,20-29,5994
2015,9,female,30-39,7540
2015,9,female,40-49,9000
2015,9,female,50-59,7670
2015,9,female,60-69,9283
2015,9,female,70-79,7669
2015,9,female,over_80,6467
2015,9,female,under_19,10649
2015,9,male,20-29,6307
2015,9,male,30-39,7802
2015,9,male,40-49,9240
2015,9,male,50-59,7668
2015,9,male,60-69,8803
2015,9,male,70-79,6412
2015,9,male,over_80,3487
2015,9,male,under_19,11181
2015,10,female,20-29,5952
2015,10,female,30-39,7579
2015,10,female,40-49,9018
2015,10,female,50-59,7697
2015,10,female,60-69,9319
2015,10,female,70-79,7666
2015,10,female,over_80,6460
2015,10,female,under_19,10606
2015,10,male,20-29,6225
2015,10,male,30-39,7844
2015,10,male,40-49,9287
2015,10,male,50-59,7732
2015,10,male,60-69,8880
2015,10,male,70-79,6416
2015,10,male,over_80,3482
2015,10,male,under_19,11156
2015,11,female,20-29,5940
2015,11,female,30-39,7562
2015,11,female,40-49,9014
2015,11,female,50-59,7709
2015,11,female,60-69,9325
2015,11,female,70-79,7653
2015,11,female,over_80,6482
2015,11,female,under_19,10601
2015,11,male,20-29,6214
2015,11,male,30-39,7827
2015,11,male,40-49,9284
2015,11,male,50-59,7743
2015,11,male,60-69,8885
2015,11,male,70-79,6404
2015,11,male,over_80,3500
2015,11,male,under_19,11150
2015,12,female,20-29,5932
2015,12,female,30-39,7546
2015,12,female,40-49,9012
2015,12,female,50-59,7715
2015,12,female,60-69,9336
