year,city,age_group,application
2022,Saga,50-59,479
2022,Saga,60-69,512
2022,Saga,70-79,253
2022,Saga,over_80,35
2022,Saga,under_19,923
2022,Osaka,20-29,24088
2022,Osaka,30-39,14456
2022,Osaka,40-49,14266
2022,Osaka,50-59,13690
2022,Osaka,60-69,8254
2022,Osaka,70-79,4585
2022,Osaka,over_80,901
2022,Osaka,under_19,19866
2022,Okinawa,20-29,2758
2022,Okinawa,30-39,1736
2022,Okinawa,40-49,1767
2022,Okinawa,50-59,1646
2022,Okinawa,60-69,1098
2022,Okinawa,70-79,632
2022,Okinawa,over_80,124
2022,Okinawa,under_19,3441
2022,Okayama,20-29,2141
2022,Okayama,30-39,1336
2022,Okayama,40-49,1524
2022,Okayama,50-59,1345
2022,Okayama,60-69,976
2022,Okayama,70-79,617
2022,Okayama,over_80,99
2022,Okayama,under_19,2021
2022,Oita,20-29,1193
2022,Oita,30-39,643
2022,Oita,40-49,687
2022,Oita,50-59,692
2022,Oita,60-69,566
2022,Oita,70-79,334
2022,Oita,over_80,58
2022,Oita,under_19,1107
2022,Niigata,20-29,1655
2022,Niigata,30-39,974
2022,Niigata,40-49,1123
2022,Niigata,50-59,1089
2022,Niigata,60-69,1016
2022,Niigata,70-79,504
2022,Niigata,over_80,78
2022,Niigata,under_19,1794
2022,Nara,20-29,2536
2022,Nara,30-39,1286
2022,Nara,40-49,1565
2022,Nara,50-59,1720
2022,Nara,60-69,1184
2022,Nara,70-79,755
2022,Nara,over_80,164
2022,Nara,under_19,2486
2022,Nagasaki,20-29,1177
2022,Nagasaki,30-39,718
2022,Nagasaki,40-49,879
2022,Nagasaki,50-59,813
2022,Nagasaki,60-69,745
2022,Nagasaki,70-79,464
2022,Nagasaki,over_80,99
2022,Nagasaki,under_19,1493
2022,Nagano,20-29,2055
2022,Nagano,30-39,1432
2022,Nagano,40-49,1774
2022,Nagano,50-59,1822
2022,Nagano,60-69,1327
2022,Nagano,70-79,827
2022,Nagano,over_80,134
2022,Nagano,under_19,2796
2022,Miyazaki,20-29,845
2022,Miyazaki,30-39,465
2022,Miyazaki,40-49,626
2022,Miyazaki,50-59,519
2022,Miyazaki,60-69,511
2022,Miyazaki,70-79,272
2022,Miyazaki,over_80,38
2022,Miyazaki,under_19,841
2022,Miyagi,20-29,2642
2022,Miyagi,30-39,1536
2022,Miyagi,40-49,1716
2022,Miyagi,50-59,1452
2022,Miyagi,60-69,1343
2022,Miyagi,70-79,679
2022,Miyagi,over_80,93
2022,Miyagi,under_19,2302
2022,Mie,20-29,2302
2022,Mie,30-39,1355
2022,Mie,40-49,1698
2022,Mie,50-59,1655
2022,Mie,60-69,1128
2022,Mie,70-79,654
2022,Mie,over_80,97
2022,Mie,under_19,2090
2022,Kyoto,20-29,7152
2022,Kyoto,30-39,3480
2022,Kyoto,40-49,3958
2022,Kyoto,50-59,3681
2022,Kyoto,60-69,2344
2022,Kyoto,70-79,1397
2022,Kyoto,over_80,320
2022,Kyoto,under_19,6238
2022,Kumamoto,20-29,1926
2022,Kumamoto,30-39,1245
2022,Kumamoto,40-49,1369
2022,Kumamoto,50-59,1224
2022,Kumamoto,60-69,1071
2022,Kumamoto,70-79,552
2022,Kumamoto,over_80,109
2022,Kumamoto,under_19,1809
2022,Kochi,20-29,521
2022,Kochi,30-39,303
2022,Kochi,40-49,437
2022,Kochi,50-59,432
2022,Kochi,60-69,369
2022,Kochi,70-79,192
2022,Kochi,over_80,45
2022,Kochi,under_19,508
2022,Kanagawa,20-29,30324
2022,Kanagawa,30-39,19367
2022,Kanagawa,40-49,21518
2022,Kanagawa,50-59,20682
2022,Kanagawa,60-69,11350
2022,Kanagawa,70-79,6405
2022,Kanagawa,over_80,1455
2022,Kanagawa,under_19,28754
2022,Kagoshima,20-29,1142
2022,Kagoshima,30-39,694
2022,Kagoshima,40-49,816
2022,Kagoshima,50-59,825
2022,Kagoshima,60-69,723
2022,Kagoshima,70-79,421
2022,Kagoshima,over_80,84
2022,Kagoshima,under_19,1369
2022,Kagawa,20-29,896
2022,Kagawa,30-39,633
2022,Kagawa,40-49,737
2022,Kagawa,50-59,624
2022,Kagawa,60-69,564
2022,Kagawa,70-79,327
2022,Kagawa,over_80,44
2022,Kagawa,under_19,830
2022,Iwate,20-29,647
2022,Iwate,30-39,454
2022,Iwate,40-49,506
2022,Iwate,50-59,500
2022,Iwate,60-69,473
2022,Iwate,70-79,231
2022,Iwate,over_80,36
2022,Iwate,under_19,812
2022,Ishikawa,20-29,1599
2022,Ishikawa,30-39,813
2022,Ishikawa,40-49,914
2022,Ishikawa,50-59,762
2022,Ishikawa,60-69,626
2022,Ishikawa,70-79,320
2022,Ishikawa,over_80,43
2022,Ishikawa,under_19,1320
2022,Ibaraki,20-29,4065
2022,Ibaraki,30-39,2680
2022,Ibaraki,40-49,2972
2022,Ibaraki,50-59,2811
2022,Ibaraki,60-69,1937
2022,Ibaraki,70-79,1109
2022,Ibaraki,over_80,191
2022,Ibaraki,under_19,4380
2022,Hyogo,20-29,11942
2022,Hyogo,30-39,7141
2022,Hyogo,40-49,8019
2022,Hyogo,50-59,8155
2022,Hyogo,60-69,5185
2022,Hyogo,70-79,2926
2022,Hyogo,over_80,551
2022,Hyogo,under_19,11890
2022,Hokkaido,20-29,5462
2022,Hokkaido,30-39,3298
2022,Hokkaido,40-49,3732
2022,Hokkaido,50-59,3641
2022,Hokkaido,60-69,3190
2022,Hokkaido,70-79,1814
2022,Hokkaido,over_80,290
2022,Hokkaido,under_19,5599
2022,Hiroshima,20-29,3604
2022,Hiroshima,30-39,2388
2022,Hiroshima,40-49,2680
2022,Hiroshima,50-59,2520
2022,Hiroshima,60-69,1893
2022,Hiroshima,70-79,1056
2022,Hiroshima,over_80,201
