year,month,age_group,application
2019,2,20-29,83626
2019,2,30-39,46945
2019,2,40-49,54300
2019,2,50-59,46762
2019,2,60-69,40890
2019,2,70-79,22966
2019,2,over_80,4005
2019,1,under_19,85239
2019,1,20-29,100127
2019,1,30-39,51213
2019,1,40-49,55849
2019,1,50-59,50708
2019,1,60-69,43347
2019,1,70-79,23721
2019,1,over_80,4000
2018,12,under_19,64488
2018,12,20-29,72992
2018,12,30-39,39385
2018,12,40-49,40671
2018,12,50-59,35762
2018,12,60-69,28532
2018,12,70-79,15077
2018,12,over_80,2681
2018,11,under_19,57807
2018,11,20-29,67854
2018,11,30-39,41976
2018,11,40-49,44360
2018,11,50-59,37914
2018,11,60-69,31917
2018,11,70-79,17120
2018,11,over_80,3088
2018,10,under_19,54909
2018,10,20-29,71218
2018,10,30-39,49093
2018,10,40-49,49757
2018,10,50-59,44198
2018,10,60-69,37329
2018,10,70-79,20294
2018,10,over_80,3729
2018,9,under_19,40818
2018,9,20-29,60194
2018,9,30-39,42780
2018,9,40-49,40816
2018,9,50-59,36574
2018,9,60-69,32611
2018,9,70-79,16961
2018,9,over_80,3115
2018,8,under_19,121759
2018,8,20-29,96484
2018,8,30-39,60067
2018,8,40-49,59156
2018,8,50-59,54172
2018,8,60-69,37935
2018,8,70-79,18198
2018,8,over_80,3387
2018,7,under_19,105717
2018,7,20-29,78542
2018,7,30-39,51223
2018,7,40-49,56332
2018,7,50-59,46628
2018,7,60-69,33249
2018,7,70-79,16319
2018,7,over_80,3071
2018,6,under_19,92438
2018,6,20-29,65276
2018,6,30-39,48520
2018,6,40-49,54939
2018,6,50-59,44898
2018,6,60-69,34030
2018,6,70-79,17603
2018,6,over_80,3231
2018,5,under_19,84189
2018,5,20-29,64224
2018,5,30-39,54608
2018,5,40-49,59082
2018,5,50-59,49221
2018,5,60-69,38311
2018,5,70-79,19183
2018,5,over_80,3550
2018,4,under_19,69452
2018,4,20-29,55174
2018,4,30-39,49493
2018,4,40-49,49533
2018,4,50-59,42098
2018,4,60-69,37115
2018,4,70-79,18647
2018,4,over_80,3420
2018,3,under_19,98815
2018,3,20-29,63828
2018,3,30-39,49088
2018,3,40-49,52184
2018,3,50-59,44523
2018,3,60-69,40099
2018,3,70-79,20070
2018,3,over_80,3789
2018,2,under_19,72163
2018,2,20-29,77304
2018,2,30-39,43092
2018,2,40-49,47121
2018,2,50-59,39974
2018,2,60-69,36099
2018,2,70-79,18906
2018,2,over_80,3489
2018,1,under_19,70411
2018,1,20-29,95323
2018,1,30-39,47807
2018,1,40-49,49277
2018,1,50-59,42425
2018,1,60-69,37906
2018,1,70-79,18860
2018,1,over_80,3160
2017,12,under_19,58990
2017,12,20-29,72871
2017,12,30-39,38941
2017,12,40-49,38925
2017,12,50-59,32676
2017,12,60-69,27200
2017,12,70-79,12944
2017,12,over_80,2379
2017,11,under_19,48912
2017,11,20-29,61087
2017,11,30-39,39350
2017,11,40-49,39362
2017,11,50-59,33732
2017,11,60-69,28768
2017,11,70-79,14118
2017,11,over_80,2697
2017,10,under_19,43995
2017,10,20-29,58251
2017,10,30-39,42341
2017,10,40-49,41644
2017,10,50-59,35276
2017,10,60-69,31621
2017,10,70-79,15287
2017,10,over_80,2968
2017,9,under_19,41342
2017,9,20-29,59115
2017,9,30-39,46139
2017,9,40-49,41858
2017,9,50-59,36155
2017,9,60-69,33207
2017,9,70-79,15820
2017,9,over_80,3043
2017,8,under_19,115474
2017,8,20-29,88414
2017,8,30-39,59693
2017,8,40-49,54700
2017,8,50-59,48893
2017,8,60-69,36933
2017,8,70-79,15481
2017,8,over_80,3055
2017,7,under_19,95452
2017,7,20-29,68806
2017,7,30-39,49285
2017,7,40-49,51027
2017,7,50-59,41403
2017,7,60-69,31680
2017,7,70-79,13809
2017,7,over_80,2817
2017,6,under_19,90958
2017,6,20-29,61300
2017,6,30-39,49592
2017,6,40-49,53836
2017,6,50-59,41776
2017,6,60-69,34743
2017,6,70-79,15660
2017,6,over_80,3067
2017,5,under_19,73602
2017,5,20-29,55426
2017,5,30-39,50316
2017,5,40-49,51676
2017,5,50-59,42098
2017,5,60-69,35583
2017,5,70-79,15703
2017,5,over_80,3093
2017,4,under_19,64295
2017,4,20-29,51094
2017,4,30-39,48738
2017,4,40-49,46881
2017,4,50-59,38785
2017,4,60-69,36157
2017,4,70-79,15565
2017,4,over_80,2980
2017,3,under_19,100261
2017,3,20-29,64698
2017,3,30-39,51632
2017,3,40-49,52350
2017,3,50-59,44673
2017,3,60-69,43135
2017,3,70-79,19611
2017,3,over_80,3751
2017,2,under_19,71151
2017,2,20-29,80340
2017,2,30-39,45319
2017,2,40-49,48574
2017,2,50-59,40554
2017,2,60-69,39779
2017,2,70-79,17688
2017,2,over_80,3247
2017,1,under_19,70335
2017,1,20-29,99325
2017,1,30-39,49278
2017,1,40-49,49526
2017,1,50-59,41909
2017,1,60-69,40511
2017,1,70-79,17905
2017,1,over_80,3056
2016,12,under_19,57071
2016,12,20-29,69269
2016,12,30-39,38720
2016,12,40-49,36938
2016,12,50-59,30413
2016,12,60-69,28091
2016,12,70-79,12023
2016,12,over_80,2131
2016,11,under_19,49037
2016,11,20-29,59272
2016,11,30-39,39854
2016,11,40-49,39248
2016,11,50-59,31381
2016,11,60-69,29816
2016,11,70-79,13068
2016,11,over_80,2514
2016,10,under_19,42010
2016,10,20-29,57082
2016,10,30-39,43411
2016,10,40-49,40955
2016,10,50-59,34133
2016,10,60-69,32557
2016,10,70-79,14191
2016,10,over_80,2924
2016,9,under_19,41281
2016,9,20-29,60526
2016,9,30-39,48393
2016,9,40-49,42484
2016,9,50-59,35934
2016,9,60-69,34780
2016,9,70-79,14872
2016,9,over_80,2849
2016,8,under_19,109339
2016,8,20-29,84476
2016,8,30-39,57679
2016,8,40-49,50749
2016,8,50-59,42851
2016,8,60-69,33090
2016,8,70-79,12404
2016,8,over_80,2452
2016,7,under_19,94741
2016,7,20-29,68027
2016,7,30-39,49842
2016,7,40-49,49566
2016,7,50-59,38795
2016,7,60-69,31281
2016,7,70-79,12364
2016,7,over_80,2470
2016,6,under_19,90692
2016,6,20-29,60900
2016,6,30-39,51386
2016,6,40-49,52670
2016,6,50-59,40467
2016,6,60-69,34937
2016,6,70-79,14400
2016,6,over_80,2856
2016,5,under_19,69209
2016,5,20-29,54212
2016,5,30-39,50791
2016,5,40-49,49096
2016,5,50-59,39384
2016,5,60-69,34939
2016,5,70-79,14404
2016,5,over_80,2892
2016,4,under_19,59274
2016,4,20-29,48113
2016,4,30-39,47098
2016,4,40-49,41645
2016,4,50-59,34386
2016,4,60-69,33535
2016,4,70-79,13896
2016,4,over_80,2651
2016,3,under_19,90334
2016,3,20-29,58111
2016,3,30-39,48360
2016,3,40-49,45339
2016,3,50-59,39267
2016,3,60-69,38952
2016,3,70-79,16654
2016,3,over_80,3165
2016,2,under_19,62552
2016,2,20-29,74792
2016,2,30-39,42572
2016,2,40-49,40170
2016,2,50-59,34786
2016,2,60-69,34250
2016,2,70-79,14710
2016,2,over_80,2847
2016,1,under_19,60364
