Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,3.682300,3.737100,3.631200,3.668800,3.668800,0
2017-04-01,3.657700,3.724100,3.562700,3.671600,3.671600,0
2017-05-01,3.671600,3.815700,3.642100,3.680300,3.680300,0
2017-06-01,3.686200,3.739100,3.615500,3.693200,3.693200,0
2017-07-01,3.705400,3.748200,3.642000,3.662800,3.662800,0
2017-08-01,3.679300,3.680400,3.578600,3.647600,3.647600,0
2017-09-01,3.667600,3.733900,3.577100,3.700300,3.700300,0
2017-10-01,3.700300,3.776800,3.691400,3.750000,3.750000,0
2017-11-01,3.771600,3.791000,3.688800,3.736700,3.736700,0
2017-12-01,3.768900,3.812100,3.718300,3.804200,3.804200,0
2018-01-01,3.805600,3.840500,3.707200,3.717600,3.717600,0
2018-02-01,3.735800,3.774600,3.631900,3.653400,3.653400,0
2018-03-01,3.629200,3.677000,3.585600,3.645500,3.645500,0
2018-04-01,3.645500,3.706200,3.616900,3.698700,3.698700,0
2018-05-01,3.686300,3.726900,3.584000,3.629200,3.629200,0
2018-06-01,3.632000,3.724000,3.585100,3.656800,3.656800,0
2018-07-01,3.656800,3.693400,3.609700,3.637100,3.637100,0
2018-08-01,3.635300,3.659300,3.555700,3.605900,3.605900,0
2018-09-01,3.599500,3.740600,3.574300,3.740600,3.740600,0
2018-10-01,3.738500,3.750000,3.595000,3.650600,3.650600,0
2018-11-01,3.637200,3.715500,3.621700,3.689300,3.689300,0
2018-12-01,3.663600,3.703900,3.566900,3.588400,3.588400,0
2019-01-01,3.588400,3.612900,3.448100,3.556200,3.556200,0
2019-02-01,3.534300,3.618200,3.527600,3.598200,3.598200,0
2019-03-01,3.603000,3.632600,3.547300,3.594800,3.594800,0
2019-04-01,3.595800,3.639200,3.587600,3.625500,3.625500,0
2019-05-01,3.608400,3.614200,3.431100,3.457500,3.457500,0
2019-06-01,3.439600,3.487300,3.424500,3.484400,3.484400,0
2019-07-01,3.490900,3.508300,3.457900,3.496200,3.496200,0
2019-08-01,3.477100,3.496600,3.336900,3.383400,3.383400,0
2019-09-01,3.383400,3.523300,3.367600,3.480100,3.480100,0
2019-10-01,3.472000,3.589637,3.445500,3.584681,3.584681,0
2019-11-01,3.544601,3.605657,3.540659,3.595391,3.595391,0
2019-12-01,3.595391,3.660375,3.551191,3.626930,3.626930,0
2020-01-01,3.632254,3.691399,3.575435,3.595408,3.595408,0
2020-02-01,3.593373,3.722916,3.562954,3.585319,3.585319,0
2020-03-01,3.585319,3.716964,3.386213,3.556983,3.556983,0
